answer_id,qa_key,question_number_int,phase,question_weight_v3,dimension_primary,dimension_secondary,answer_letter,answer_text,archetype,shadow_type,comm_health_norm,reg_health_norm,love_relational_norm,readiness_norm,pacing_norm,attachment_risk_norm,centered_polarity_norm,reciprocity_signal_norm,integrity_penalty_norm,cluster_penalty_norm,pattern_risk_norm,forecast_norm,pos_agg,chem_agg,risk_agg,risk_band,pos_band,chem_band,access_style_label_v8,conflict_style_label_v8,repair_style_label_v8,attachment_style_label_v8,nervous_system_bias_label_v8,selection_gap_flag_v8
Q04_C,004_C,4,Core,1.0,CommunicationHealth,EmotionalNeeds,C,I call it out. I just say what I see. I'd rather know now than waste time.,Regulated Grown-Up,,0.9,0.92,0.74,1.0,0.974,0.018368,0.1875,0.9327999999999999,0.0,0.0,0.0,1.0,0.956688,0.5853981959999999,0.0036736,Low,High,Medium,Open,Direct,Co-repair,Slow-build,Calm-seeking,Low
Q04_D,004_D,4,Core,1.0,CommunicationHealth,EmotionalNeeds,D,I tell myself I'm just being too picky or expecting too much. So I wait. I just stop texting first and start holding back.,Phantom Seeker,,0.74,0.74,0.7,0.0,0.3702857142857143,0.3199321904761905,0.625,0.4892,0.0,0.3571428571428572,0.3333333333333333,0.0,0.4588268444444443,0.4808368986666666,0.2020816761904762,Low,Low,Low,Selective,Emotional,Re-engage,Rush-risk,Calm-seeking,Low
Q04_E,004_E,4,Core,1.0,CommunicationHealth,EmotionalNeeds,E,"I've learned not to announce when I'm done, I just leave when I'm sure. I downplay it out loud, but mentally I start planning my exit.",Quiet Exit,,0.36,0.28,0.76,0.4,0.504,0.3565226666666667,0.625,0.5381333333333334,0.0,0.0,0.6666666666666666,0.0,0.5164489820105821,0.6404723653333333,0.2046378666666667,Low,Low,Medium,Selective,Avoidant,Delay,Mixed,Mixed,Low
Q05_A,005_A,5,Core,1.0,CommunicationHealth,EmotionalNeeds,A,"I don't expect much from people emotionally. I just log it as ""noted"" and move on. No point getting deep with someone who doesn't meet you there.",Icebox,,0.36,0.28,0.76,0.0,0.2831428571428571,0.4400247619047619,0.6875,0.3828,0.0,0.9285714285714286,0.3333333333333333,0.0,0.3333589841269842,0.4926718066666667,0.3403859047619048,Medium,Very Low,Low,Guarded,Avoidant,Suppress,Rush-risk,Mixed,Low
Q05_B,005_B,5,Core,1.0,CommunicationHealth,EmotionalNeeds,B,"I brush it off, but I don't forget it. Stuff like that reminds me who's safe and who just wants the easy version of me.",Survivor,,0.74,0.74,0.72,0.4,0.7,0.088352,0.4374999999999999,0.6643999999999999,0.0,0.0,0.0,0.6,0.6710831492063493,0.517608644,0.0176704,Low,Medium,Low,Measured,Emotional,Co-repair,Slow-build,Calm-seeking,Low
Q05_C,005_C,5,Core,1.0,CommunicationHealth,EmotionalNeeds,C,"I try to explain again, maybe they didn't get it. And if they still don't? I stop showing that side to someone who doesn't see me.",Fixer,,0.74,0.92,0.72,0.8,0.8959999999999999,0.04154400000000001,0.4374999999999999,0.8313333333333333,0.0,0.0,0.0,0.8,0.8473841820105821,0.6333192679999999,0.008308800000000002,Low,High,Medium,Open,Emotional,Co-repair,Slow-build,Calm-seeking,Low
Q05_D,005_D,5,Core,1.0,CommunicationHealth,EmotionalNeeds,D,"I keep it smooth, but I notice the shift. Makes me rethink what I share next time, it's easier to just stay surface when people don't respond.",Performer,,0.56,0.48,0.62,0.0,0.3008571428571428,0.4846952380952381,0.9375,0.4264,0.0,0.5714285714285714,0.6666666666666666,0.0,0.4066926984126985,0.6510710333333334,0.3445580952380952,Medium,Low,Medium,Selective,Indirect,Delay,Rush-risk,Mixed,Low
Q05_E,005_E,5,Core,1.0,CommunicationHealth,EmotionalNeeds,E,"Silence says a lot. I take note. If they care, it'll show later, if not, I don't open that part of me again.",Regulated Grown-Up,,0.9,0.92,0.74,1.0,0.974,0.01956800000000002,0.1875,0.8961333333333332,0.0,0.0,0.0,1.0,0.9408699724867723,0.539364596,0.003913600000000004,Low,High,Low,Open,Direct,Co-repair,Slow-build,Calm-seeking,Low
Q06_A,006_A,6,Core,1.0,CommunicationHealth,EmotionalNeeds,A,"If you're hot and cold, I'm room temperature and gone. I'm not here to decode moods.",Regulated Grown-Up,,0.9,0.92,0.74,1.0,0.894,0.2574346666666667,0.1875,0.8427999999999999,0.0,0.0,0.6666666666666666,1.0,0.9251070095238094,0.5327043293333333,0.1848202666666667,Low,High,Low,Open,Direct,Co-repair,Slow-build,Calm-seeking,Low
Q06_B,006_B,6,Core,1.0,CommunicationHealth,EmotionalNeeds,B,"I recheck our last texts. Then I reread mine. Then I wonder if I should've said less, or more. I don't bring it up, but it definitely rewires how I respond.",Analyzer,,0.68,0.74,0.72,0.4,0.5651428571428572,0.1772834285714286,0.5,0.6181333333333332,0.0,0.4285714285714285,0.0,0.2,0.5896336042328042,0.485176064,0.1211709714285714,Low,Medium,Low,Measured,Logical,Re-engage,Mixed,Calm-seeking,Low
Q06_C,006_C,6,Core,1.0,CommunicationHealth,EmotionalNeeds,C,I back off. They'll either notice or they won't. I'm not chasing people who don't know what they want.,Icebox,,0.36,0.28,0.76,0.0,0.3402857142857143,0.3405961904761905,0.6875,0.3828,0.0,0.3571428571428572,0.3333333333333333,0.0,0.3586542222222222,0.4954558066666667,0.2062144761904762,Low,Very Low,Low,Guarded,Avoidant,Suppress,Rush-risk,Calm-seeking,Low
Q06_D,006_D,6,Core,1.0,CommunicationHealth,EmotionalNeeds,D,"I stop bringing things up. If they don't want me, I'm not going to beg to be understood. I've played that game before.",Fixer,,0.74,0.92,0.72,0.4,0.4917142857142857,0.4426118095238096,0.4374999999999999,0.6326666666666666,0.0,0.6428571428571429,0.6666666666666666,0.4,0.6329756656084656,0.4964893693333333,0.3504271238095238,Medium,Medium,Low,Measured,Emotional,Re-engage,Mixed,Calm-seeking,Low
Q06_E,006_E,6,Core,1.0,CommunicationHealth,EmotionalNeeds,E,"I tell myself it's probably just stress or a bad week. I don't want to give up too early, but it's hard not to notice when it shifts.",Romantic Idealist,,0.74,0.48,0.62,0.6,0.7100000000000001,0.084128,0.7499999999999999,0.6898666666666666,0.0,0.0,0.0,0.4,0.6793276656084656,0.6949144159999998,0.0168256,Low,Medium,Medium,Measured,Emotional,Re-engage,Slow-build,Mixed,Low
Q07_A,007_A,7,Core,1.0,CommunicationHealth,EmotionalNeeds,A,"I pause. I've learned not everything's about me. If they want to talk, they will. If not, I don't chase silence.",Icebox,,0.36,0.28,0.76,0.4,0.5306666666666666,0.2772337777777779,0.6875,0.5559111111111111,0.0,0.0,0.4444444444444445,0.0,0.5217033029982364,0.6716299542222222,0.1443356444444445,Low,Low,Medium,Selective,Avoidant,Delay,Mixed,Mixed,Low
Q07_B,007_B,7,Core,1.0,CommunicationHealth,EmotionalNeeds,B,I immediately think I said something wrong. I start scanning every word trying to figure out what triggered it.,Analyzer,,0.68,0.74,0.72,0.4,0.5722857142857143,0.1648548571428571,0.5,0.6181333333333332,0.0,0.3571428571428572,0.0,0.2,0.5927955089947091,0.485524064,0.1043995428571429,Low,Medium,Low,Measured,Logical,Re-engage,Mixed,Calm-seeking,Low
Q07_C,007_C,7,Core,1.0,CommunicationHealth,EmotionalNeeds,C,"I'll ask once. If it's brushed off or ignored, I shift. I'm not the type to sit in someone else's silence for long.",Regulated Grown-Up,,0.9,0.92,0.74,1.0,0.974,0.01956800000000002,0.1875,0.8961333333333332,0.0,0.0,0.0,1.0,0.9408699724867723,0.539364596,0.003913600000000004,Low,High,Low,Open,Direct,Co-repair,Slow-build,Calm-seeking,Low
Q07_D,007_D,7,Core,1.0,CommunicationHealth,EmotionalNeeds,D,"I try to keep the mood up, shift the subject, make it feel less tense, even if I'm freaking out a little inside.",Performer,,0.56,0.48,0.62,0.4,0.5622857142857143,0.1725028571428572,0.9375,0.5883999999999999,0.0,0.3571428571428572,0.0,0.2,0.5645541587301588,0.7170124199999999,0.1059291428571429,Low,Medium,High,Selective,Indirect,Delay,Mixed,Mixed,Low
Q07_E,007_E,7,Core,1.0,CommunicationHealth,EmotionalNeeds,E,"I feel it, but I don't say anything. I stay present, hoping they'll come back to me on their own.",Translator,,0.56,0.92,0.74,0.4,0.5622857142857143,0.2772121904761905,0.5,0.5970666666666666,0.0,0.3571428571428572,0.3333333333333333,0.4,0.6217104846560848,0.4957180586666667,0.1935376761904762,Low,Medium,Low,Measured,Indirect,Re-engage,Mixed,Calm-seeking,Low
Q08_A,008_A,8,Core,1.0,CommunicationHealth,EmotionalNeeds,A,Here we go again. I already know how this plays out. I stop trying the second I feel myself caring more than they do.,Survivor,,0.74,0.74,0.72,0.4,0.4962857142857143,0.2876521904761905,0.4374999999999999,0.5644,0.0,0.3571428571428572,0.3333333333333333,0.2,0.5771261460317461,0.4116282386666667,0.1956256761904762,Low,Medium,Low,Measured,Emotional,Re-engage,Mixed,Calm-seeking,Low
Q08_B,008_B,8,Core,1.0,CommunicationHealth,EmotionalNeeds,B,"It's subtle, but I clock everything. Less emojis. Slower replies. Something's off, I just haven't figured out what yet.",Analyzer,,0.68,0.74,0.72,0.6,0.708,0.1938213333333333,0.5,0.7008,0.0,0.0,0.3333333333333333,0.6,0.7190044063492063,0.5879130026666666,0.1054309333333333,Low,High,Medium,Measured,Logical,Re-engage,Slow-build,Calm-seeking,Low
Q08_C,008_C,8,Core,1.0,CommunicationHealth,EmotionalNeeds,C,"I don't ask. I just start detaching. If you're fading, I'm not chasing. I've done that before, and I don't owe anyone a meltdown.",Quiet Exit,,0.36,0.28,0.76,0.0,0.402952380952381,0.2550673015873016,0.625,0.4372444444444445,0.0,0.3571428571428572,0.1111111111111111,0.0,0.3869639929453263,0.5261131155555555,0.144664253968254,Low,Very Low,Low,Guarded,Avoidant,Suppress,Mixed,Mixed,Low
Q08_D,008_D,8,Core,1.0,CommunicationHealth,EmotionalNeeds,D,"Maybe they just need space. I try not to assume the worst... but yeah, it's hard not to take it personal.",Romantic Idealist,,0.74,0.48,0.62,0.6,0.7100000000000001,0.084128,0.7499999999999999,0.6898666666666666,0.0,0.0,0.0,0.4,0.6793276656084656,0.6949144159999998,0.0168256,Low,Medium,Medium,Measured,Emotional,Re-engage,Slow-build,Mixed,Low
Q08_E,008_E,8,Core,1.0,CommunicationHealth,EmotionalNeeds,E,"Cool. If they're gonna play distant, I'll be busy too. I'm not built to beg for consistency.",Icebox,,0.36,0.28,0.76,0.0,0.3374285714285714,0.2962342857142857,0.6875,0.4094666666666667,0.0,0.7857142857142857,0.0,0.0,0.3475642751322752,0.4966979400000001,0.2163897142857143,Low,Very Low,Low,Guarded,Avoidant,Suppress,Rush-risk,Calm-seeking,Low
Q09_A,009_A,9,Core,1.05,ConflictRepair,CommunicationHealth,A,"Noted. That's usually my cue to start pulling my energy back. I don't throw a fit, I just stop handing out access.",Quiet Exit,,0.36,0.28,0.76,0.4,0.5706666666666667,0.1595004444444445,0.625,0.5825777777777777,0.0,0.0,0.1111111111111111,0.0,0.5214774828924162,0.6319889875555555,0.05412231111111112,Low,Low,Medium,Selective,Avoidant,Delay,Mixed,Mixed,Low
Q09_B,009_B,9,Core,1.05,ConflictRepair,CommunicationHealth,B,"I act like it's fine, but it lingers. Now I'm checking who else they were with, what story that timing fits into. I overthink for a living.",Analyzer,,0.68,0.74,0.72,0.4,0.5722857142857143,0.1648548571428571,0.5,0.6181333333333332,0.0,0.3571428571428572,0.0,0.2,0.5927955089947091,0.485524064,0.1043995428571429,Low,Medium,Low,Measured,Logical,Re-engage,Mixed,Calm-seeking,Low
Q09_C,009_C,9,Core,1.05,ConflictRepair,CommunicationHealth,C,"It stings. I replay the texts a few times, wondering what I said or didn't say. I don't bring it up, but I definitely adjust after that.",Phantom Seeker,,0.74,0.74,0.7,0.2,0.5222857142857142,0.1773988571428572,0.625,0.5885333333333332,0.0,0.3571428571428572,0.0,0.2,0.5554135534391534,0.5420278319999999,0.1069083428571429,Low,Medium,Low,Selective,Emotional,Re-engage,Mixed,Calm-seeking,Low
Q09_D,009_D,9,Core,1.05,ConflictRepair,CommunicationHealth,D,"I get annoyed, then weirdly try harder. Like maybe if I'm more consistent, they'll start matching that. It never really works, but I still do it.",Fixer,,0.74,0.92,0.72,0.2,0.4882857142857143,0.1798308571428572,0.4374999999999999,0.5766666666666667,0.0,0.3571428571428572,0.0,0.2,0.5536255703703703,0.4006472359999999,0.1073947428571429,Low,Medium,Low,Measured,Emotional,Re-engage,Mixed,Calm-seeking,Low
Q09_E,009_E,9,Core,1.05,ConflictRepair,CommunicationHealth,E,"Cool. That tells me everything I needed to know. I move different after that, no announcement required.",Icebox,,0.36,0.28,0.76,0.0,0.376,0.2793493333333333,0.6875,0.3828,0.0,0.0,0.3333333333333333,0.0,0.3632417015873016,0.4971707186666667,0.1225365333333333,Low,Very Low,Low,Guarded,Avoidant,Delay,Rush-risk,Calm-seeking,Low
Q10_A,010_A,10,Core,1.05,ConflictRepair,CommunicationHealth,A,"I play the part, but I clock the imbalance. I've been the safe place before, doesn't mean they ever planned to stay.",Survivor,,0.74,0.74,0.72,0.6,0.7839999999999999,0.06867200000000001,0.4374999999999999,0.7370666666666665,0.0,0.0,0.0,0.6,0.7380461544973543,0.5753596839999999,0.0137344,Low,High,Medium,Measured,Emotional,Co-repair,Slow-build,Calm-seeking,Low
Q10_B,010_B,10,Core,1.05,ConflictRepair,CommunicationHealth,B,"I try to be what they need, hoping maybe this time they'll realize I'm more than a backup plan.",Fixer,,0.74,0.92,0.72,0.4,0.6362857142857142,0.1499908571428571,0.4374999999999999,0.6859999999999999,0.0,0.3571428571428572,0.0,0.4,0.6653862476190477,0.515882756,0.1014267428571429,Low,Medium,Low,Measured,Emotional,Re-engage,Mixed,Calm-seeking,Low
Q10_C,010_C,10,Core,1.05,ConflictRepair,CommunicationHealth,C,"I comfort them, but in my head I'm already creating distance. If I can't count on them too, this whole thing is one-sided.",Analyzer,,0.68,0.74,0.72,0.6,0.7839999999999999,0.06984800000000001,0.5,0.7274666666666666,0.0,0.0,0.0,0.6,0.7308858878306878,0.6025842559999999,0.0139696,Low,High,Medium,Measured,Logical,Re-engage,Slow-build,Calm-seeking,Low
Q10_D,010_D,10,Core,1.05,ConflictRepair,CommunicationHealth,D,"I act calm, but I feel it. When I need someone, I keep it to myself, so watching them lean on me makes the silence louder.",Phantom Seeker,,0.74,0.74,0.7,0.2,0.5222857142857142,0.1773988571428572,0.625,0.5885333333333332,0.0,0.3571428571428572,0.0,0.2,0.5554135534391534,0.5420278319999999,0.1069083428571429,Low,Medium,Low,Selective,Emotional,Re-engage,Mixed,Calm-seeking,Low
Q10_E,010_E,10,Core,1.05,ConflictRepair,CommunicationHealth,E,"I give them what they need in the moment. Then I sit with the feeling later, wondering why I always end up being the one who shows up.",Romantic Idealist,,0.74,0.48,0.62,0.4,0.626,0.103808,0.7499999999999999,0.6172,0.0,0.0,0.0,0.4,0.6123646603174604,0.637163376,0.0207616,Low,Medium,Medium,Measured,Emotional,Re-engage,Mixed,Calm-seeking,Low
Q11_A,011_A,11,Core,1.05,ConflictRepair,CommunicationHealth,A,"I give them space. If they want to talk, they will. If not, I take the hint.",Icebox,,0.36,0.28,0.76,0.4,0.504,0.3577226666666667,0.6875,0.5381333333333334,0.0,0.0,0.6666666666666666,0.0,0.5083416804232804,0.6553762653333333,0.2048778666666667,Low,Low,Medium,Selective,Avoidant,Delay,Mixed,Mixed,Low
Q11_B,011_B,11,Core,1.05,ConflictRepair,CommunicationHealth,B,I reread every text. Then I spiral into what I should've said differently.,Analyzer,,0.68,0.74,0.72,0.2,0.4811428571428571,0.1969634285714286,0.5,0.5454666666666667,0.0,0.4285714285714285,0.0,0.2,0.522670598941799,0.427425024,0.1251069714285714,Low,Low,Low,Selective,Logical,Re-engage,Mixed,Calm-seeking,Low
Q11_C,011_C,11,Core,1.05,ConflictRepair,CommunicationHealth,C,"I mirror their shift. If they're pulling back, so am I, no explanations.",Quiet Exit,,0.36,0.28,0.76,0.2,0.4171428571428571,0.3321447619047619,0.625,0.4921333333333334,0.0,0.4285714285714285,0.3333333333333333,0.0,0.4415107724867725,0.5699549466666667,0.2188099047619048,Low,Low,Medium,Selective,Avoidant,Suppress,Mixed,Mixed,Low
Q11_D,011_D,11,Core,1.05,ConflictRepair,CommunicationHealth,D,I try to re-engage them. Make them laugh. Be light. I don't want to feel the shift.,Performer,,0.56,0.48,0.62,0.4,0.5622857142857143,0.1725028571428572,0.9375,0.5883999999999999,0.0,0.3571428571428572,0.0,0.2,0.5645541587301588,0.7170124199999999,0.1059291428571429,Low,Medium,High,Selective,Indirect,Delay,Mixed,Mixed,Low
Q11_E,011_E,11,Core,1.05,ConflictRepair,CommunicationHealth,E,"I sit with it, hoping they'll come back on their own. I don't press. I just wait.",Translator,,0.56,0.92,0.74,0.6,0.814,0.06447200000000002,0.5,0.7330666666666665,0.0,0.0,0.0,0.8,0.7595750433862434,0.6020747839999999,0.0128944,Low,High,Medium,Measured,Indirect,Co-repair,Slow-build,Calm-seeking,Low
Q12_A,012_A,12,Core,1.05,ConflictRepair,CommunicationHealth,A,"Something changed. I don't know what, but it's not just in my head.",Analyzer,,0.68,0.74,0.72,0.6,0.7839999999999999,0.06984800000000001,0.5,0.7274666666666666,0.0,0.0,0.0,0.6,0.7308858878306878,0.6025842559999999,0.0139696,Low,High,Medium,Measured,Logical,Re-engage,Slow-build,Calm-seeking,Low
Q12_B,012_B,12,Core,1.05,ConflictRepair,CommunicationHealth,B,"I try not to assume. I wait. If I ask and it's nothing, I'll feel stupid.",Phantom Seeker,,0.74,0.74,0.7,0.2,0.5222857142857142,0.1773988571428572,0.625,0.5885333333333332,0.0,0.3571428571428572,0.0,0.2,0.5554135534391534,0.5420278319999999,0.1069083428571429,Low,Medium,Low,Selective,Emotional,Re-engage,Mixed,Calm-seeking,Low
Q12_C,012_C,12,Core,1.05,ConflictRepair,CommunicationHealth,C,"I bring it up again, but this time they can probably hear the shift in my tone. I'm not trying to argue-I just need them to actually hear me.",Regulated Grown-Up,,0.9,0.92,0.74,1.0,0.974,0.01956800000000002,0.1875,0.8961333333333332,0.0,0.0,0.0,1.0,0.9408699724867723,0.539364596,0.003913600000000004,Low,High,Low,Open,Direct,Co-repair,Slow-build,Calm-seeking,Low
Q12_D,012_D,12,Core,1.05,ConflictRepair,CommunicationHealth,D,"I joke about it to see how they react. If they don't bite, I pull back quietly.",Performer,,0.56,0.48,0.62,0.2,0.3398095238095238,0.4529092063492065,0.9375,0.5168444444444444,0.0,0.9285714285714286,0.4444444444444445,0.0,0.4591005008818343,0.6979610422222222,0.3651850158730159,Medium,Low,Medium,Selective,Indirect,Delay,Rush-risk,Mixed,Low
Q12_E,012_E,12,Core,1.05,ConflictRepair,CommunicationHealth,E,"I shift before they get the chance to. I've seen this pattern before, I know how it ends.",Survivor,,0.74,0.74,0.72,0.4,0.6362857142857142,0.1535188571428572,0.4374999999999999,0.6643999999999999,0.0,0.3571428571428572,0.0,0.4,0.6447534476190476,0.5157839719999999,0.1021323428571429,Low,Medium,Low,Measured,Emotional,Re-engage,Mixed,Calm-seeking,Low
Q13_A,013_A,13,Core,1.05,ConflictRepair,CommunicationHealth,A,I just need space to check if I'm seeing it clearly before I lean in. Not to play games.,Quiet Exit,,0.36,0.28,0.76,0.4,0.5986666666666667,0.1543804444444445,0.625,0.5825777777777777,0.0,0.0,0.1111111111111111,0.2,0.5513270067019401,0.6461323475555556,0.05309831111111112,Low,Medium,Medium,Selective,Avoidant,Delay,Mixed,Mixed,Low
